"observation.id","survey.id","date.ymd","doy","species","spec.code","guild","total","time","sampling.time","num.observers","sampling.effort","effort.multiplier","breed","behaviour","notes","observers","guild2","date","period","year","month","day","survey.num","transect","start.time","end.time","rec.num","end.time.filled","transect.id"
1,"12-Jun-90_EARLY_1",1990-06-12,163,"Black Guillemot","BLGU","waterbird",2,10:00:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,37,FALSE,"12-Jun-90_EARLY_1_1"
2,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",1,10:00:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,292,FALSE,"12-Jun-90_EARLY_1_1"
3,"12-Jun-90_EARLY_1",1990-06-12,163,"Black Guillemot","BLGU","waterbird",20,10:02:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","other","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,38,FALSE,"12-Jun-90_EARLY_1_1"
4,"12-Jun-90_EARLY_1",1990-06-12,163,"Brant","BRAN","waterbird",1,10:02:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,73,FALSE,"12-Jun-90_EARLY_1_1"
5,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",2,10:02:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,293,FALSE,"12-Jun-90_EARLY_1_1"
6,"12-Jun-90_EARLY_1",1990-06-12,163,"Semipalmated Sandpiper","SESA","shorebird",2,10:02:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,781,FALSE,"12-Jun-90_EARLY_1_1"
7,"12-Jun-90_EARLY_1",1990-06-12,163,"Lapland Longspur","LALO","passerine",2,10:03:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","passerine","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,294,FALSE,"12-Jun-90_EARLY_1_1"
8,"12-Jun-90_EARLY_1",1990-06-12,163,"Red-necked Phalarope","RNPL","shorebird",1,10:03:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,654,FALSE,"12-Jun-90_EARLY_1_1"
9,"12-Jun-90_EARLY_1",1990-06-12,163,"Common Eider","COEI","waterbird",1,10:04:00,66,2,132,23.15,"","displaying","","LeeJohn Meyook, Colin Gordon","duck","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,982,FALSE,"12-Jun-90_EARLY_1_1"
10,"12-Jun-90_EARLY_1",1990-06-12,163,"Red-necked Phalarope","RNPL","shorebird",1,10:04:00,66,2,132,23.15,"","displaying","Singing, displaying","LeeJohn Meyook, Colin Gordon","shorebird","12-Jun-90","EARLY",1990,6,12,1,1,09:55:00,11:01:00,655,FALSE,"12-Jun-90_EARLY_1_1"
