observation.date,common.name,observation.count,juvenile.count,egg.count,phenological.stage,unclear how many eggs,problematic,breed,behaviour,notes,age.sex,breeding.code,breeding.category,behavior.code,breeding.possibility,sampling.time,survey.id,doy,spec.code,time,num.observers,sampling.effort,effort.multiplier,observers,date,period,year,month,day,survey.num,transect,start.time,end.time,rec.num,end.time.filled,transect.id,scientific.name,locality,protocol.type
1990-06-12,Glaucous Gull,2,NA,NA,nest,NA,NA,nest,displaying,,NA,NA,NA,NA,NA,66,12-Jun-90_EARLY_1,163,GLGU,11:01:00,2,132,23.15,"LeeJohn Meyook, Colin Gordon",12-Jun-90,EARLY,1990,6,12,1,3,9:55:00,11:01:00,225,TRUE,12-Jun-90_EARLY_1_3,NA,NA,NA
1990-06-19,Semipalmated Plover,2,0,3,nest_w_eggs,NA,NA,nest: 3 eggs,distractive display,,NA,NA,NA,NA,NA,51,19-Jun-90_LATE_2,170,SEPL,15:12:00,1,51,27.2,Frank Elanik,19-Jun-90,LATE,1990,6,19,2,1,15:00:00,15:51:00,747,FALSE,19-Jun-90_LATE_2_1,NA,NA,NA
1990-06-22,Common Eider,1,NA,NA,nest,NA,NA,nest,,,NA,NA,NA,NA,NA,85,22-Jun-90_LATE_3,173,COEI,13:07:00,1,85,25.5,Victor Allen,22-Jun-90,LATE,1990,6,22,3,1,11:45:00,13:10:00,992,FALSE,22-Jun-90_LATE_3_1,NA,NA,NA
1991-06-20,Lapland Longspur,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,92,20-Jun-91_LATE_2,171,LALO,11:11:00,1,92,25.15,LeeJohn Meyook,20-Jun-91,LATE,1991,6,20,2,3,10:22:00,11:54:00,466,FALSE,20-Jun-91_LATE_2_3,NA,NA,NA
1991-06-20,Glaucous Gull,1,0,3,nest_w_eggs,NA,NA,nest: 3 eggs,,,NA,NA,NA,NA,NA,92,20-Jun-91_LATE_2,171,GLGU,11:50:00,1,92,25.15,LeeJohn Meyook,20-Jun-91,LATE,1991,6,20,2,3,10:22:00,11:54:00,228,FALSE,20-Jun-91_LATE_2_3,NA,NA,NA
1994-06-03,Snow Bunting,3,NA,NA,breeding,"pre nesting, maybe other",NA,,,breeding,NA,NA,NA,NA,NA,74,3-Jun-94_EARLY_1,154,SNBU,16:00:00,2,148,22.35,"Frank Elanik, Richard Gordon",03-Jun-94,EARLY,1994,6,3,1,1,15:00:00,16:14:00,1067,FALSE,3-Jun-94_EARLY_1_1,NA,NA,NA
1995-06-03,Sandhill Crane,1,NA,NA,nest,NA,NA,nest,,scared it off nest,NA,NA,NA,NA,NA,102,3-Jun-95_EARLY_1,154,SACR,16:52:00,2,204,19.55,"LeeJohn Meyook, Colin Gordon",03-Jun-95,EARLY,1995,6,3,1,2,16:22:00,18:04:00,1093,FALSE,3-Jun-95_EARLY_1_2,NA,NA,NA
1995-06-03,Glaucous Gull,1,NA,NA,nest,NA,NA,,flying,flying away from nest,NA,NA,NA,NA,NA,102,3-Jun-95_EARLY_1,154,GLGU,17:36:00,2,204,19.55,"LeeJohn Meyook, Colin Gordon",03-Jun-95,EARLY,1995,6,3,1,3,16:22:00,18:04:00,1113,FALSE,3-Jun-95_EARLY_1_3,NA,NA,NA
1995-06-03,Common Eider,2,NA,NA,nest,NA,NA,,flying,flying away from nest,NA,NA,NA,NA,NA,102,3-Jun-95_EARLY_1,154,COEI,17:38:00,2,204,19.55,"LeeJohn Meyook, Colin Gordon",03-Jun-95,EARLY,1995,6,3,1,3,16:22:00,18:04:00,1114,FALSE,3-Jun-95_EARLY_1_3,NA,NA,NA
1996-06-09,Red-throated Loon,2,NA,NA,nest,NA,NA,,,pond by nest,NA,NA,NA,NA,NA,95,9-Jun-96_EARLY_2,161,RTLO,14:46:00,2,190,20.25,"LeeJohn Meyook, Richard Gordon",09-Jun-96,EARLY,1996,6,9,2,1,14:30:00,16:05:00,1124,FALSE,9-Jun-96_EARLY_2_1,NA,NA,NA
