year,spec.code,species,total.count,rel.abundance.total,total.scaled,logistic.id.total,rel.abundance.scaled,logistic.id.scaled,guild,guild2,observers,sampling.effort,effort.multiplier,sampling.time,num.observers,notes,survey.id,period,start.time,end.time,time,date.ymd,doy,day,month
1990,BASA,Baird's Sandpiper,0,0,0,low,0,low,shorebird,shorebird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,BLGU,Black Guillemot,33,0.8918918918918919,319.64705882352945,high,0.825083510476769,high,waterbird,other,"LeeJohn Meyook, Colin Gordon",132,9.686274509803923,66,2,,12-Jun-90_EARLY_1,EARLY,09:55:00,11:01:00,10:00:00,1990-06-12,163,12,6
1990,COEI,Common Eider,25,0.43859649122807015,242.15686274509807,low,0.5765639589169002,high,waterbird,duck,"LeeJohn Meyook, Colin Gordon",132,9.686274509803923,66,2,,12-Jun-90_EARLY_1,EARLY,09:55:00,11:01:00,10:04:00,1990-06-12,163,12,6
1990,GLGU,Glaucous Gull,2,0.15384615384615385,19.372549019607845,low,0.1623931623931624,low,waterbird,gull,"LeeJohn Meyook, Colin Gordon",132,9.686274509803923,66,2,,12-Jun-90_EARLY_1,EARLY,09:55:00,11:01:00,11:01:00,1990-06-12,163,12,6
1990,GWFG,Greater White-fronted Goose,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,LALO,Lapland Longspur,32,0.8421052631578947,360.7843137254902,high,0.8646616541353385,high,passerine,passerine,Frank Elanik,51,11.27450980392157,51,1,,19-Jun-90_LATE_2,LATE,15:00:00,15:51:00,15:04:00,1990-06-19,170,19,6
1990,LTJA,Long-tailed Jaeger,1,0.125,9.686274509803923,low,0.12653688524590165,low,birdofprey,gull,"LeeJohn Meyook, Colin Gordon",132,9.686274509803923,66,2,,12-Jun-90_EARLY_1,EARLY,09:55:00,11:01:00,10:39:00,1990-06-12,163,12,6
1990,NOPI,Northern Pintail,2,0.0392156862745098,19.372549019607845,low,0.051250129681502235,low,waterbird,duck,"LeeJohn Meyook, Colin Gordon",132,9.686274509803923,66,2,,12-Jun-90_EARLY_1,EARLY,09:55:00,11:01:00,10:45:00,1990-06-12,163,12,6
1990,REDP,Redpoll,4,0.2,45.09803921568628,low,0.23279352226720645,low,passerine,passerine,Frank Elanik,51,11.27450980392157,51,1,,19-Jun-90_LATE_2,LATE,15:00:00,15:51:00,15:10:00,1990-06-19,170,19,6
1990,RTLO,Red-throated Loon,0,0,0,low,0,low,waterbird,duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,SAVS,Savannah Sparrow,0,0,0,low,0,low,passerine,passerine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,SEPL,Semipalmated Plover,27,0.9310344827586207,304.4117647058824,high,1,high,shorebird,shorebird,Frank Elanik,51,11.27450980392157,51,1,,19-Jun-90_LATE_2,LATE,15:00:00,15:51:00,15:12:00,1990-06-19,170,19,6
1990,SESA,Semipalmated Sandpiper,15,0.39473684210526316,145.29411764705884,low,0.3611111111111111,low,shorebird,shorebird,"LeeJohn Meyook, Colin Gordon",132,9.686274509803923,66,2,,12-Jun-90_EARLY_1,EARLY,09:55:00,11:01:00,10:02:00,1990-06-12,163,12,6
1990,SNBU,Snow Bunting,6,0.375,67.64705882352942,low,0.7700892857142858,high,passerine,passerine,Frank Elanik,51,11.27450980392157,51,1,,19-Jun-90_LATE_2,LATE,15:00:00,15:51:00,15:10:00,1990-06-19,170,19,6
1991,BASA,Baird's Sandpiper,3,0.21428571428571427,31.411764705882355,low,0.24450549450549447,low,shorebird,shorebird,LeeJohn Meyook,92,10.470588235294118,92,1,on route,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,10:35:00,1991-06-20,171,20,6
1991,BLGU,Black Guillemot,37,1,387.4117647058824,high,1,high,waterbird,other,LeeJohn Meyook,92,10.470588235294118,92,1,Mission House,20-Jun-91_LATE_2,LATE,10:22:00,11:54:00,10:27:00,1991-06-20,171,20,6
