year,Tave_sp,Tmin_sp,Tmax_sp,Tave_sm,Tmin_sm,Tmax_sm,Tave04,Tave05,Tave06,Tave07,Tave08,mean_temp_breeding_season,max_temp_breeding_season,min_temp_breeding_season
1985,-16.6,-20.5,-12.6,4.8,0.8,8.7,-21.7036006355874,-4.37077774114139,3.56037424443864,5.03458530256033,5.66471819552799,-10.256521739130434,-6.558695652173913,-13.91304347826087
1986,-17.9,-22,-13.7,5.4,1.5,9.2,-20.8025060035874,-6.67514928514139,3.33479733243864,7.35226302256033,5.36362356352799,-10.671739130434784,-7.121739130434783,-14.160869565217391
1987,-16.9,-21,-12.8,6.5,2.5,10.5,-20.1635637235874,-6.57183928514139,4.14591424443864,8.73449302256033,6.72252510752799,-10.469565217391304,-6.573913043478261,-14.308695652173913
1988,-14,-17.7,-10.3,6.6,2.6,10.6,-15.0103460035874,-5.16852928514139,4.87814424443864,8.73339839056033,6.15250665152799,-5.6173913043478265,-2.4717391304347824,-8.72391304347826
1989,-15.1,-19.3,-10.9,7.9,3.4,12.4,-13.7781160035874,-5.84410619714139,4.54369887643864,9.73895684656033,9.38914128352799,-9.069565217391304,-5.7586956521739125,-12.339130434782609
1990,-12.5,-16.6,-8.4,7.1,3.1,11.1,-13.5981344595874,-3.23970156514139,5.14925733243864,9.77228147856033,6.41806128352799,-6.541304347826087,-2.4130434782608696,-10.645652173913044
1991,-14.3,-18.2,-10.4,5,1.2,8.7,-15.7992882835874,-1.81531156514139,4.36706042043864,5.43898993456033,5.09919665152799,-4.4,-1.782608695652174,-6.993478260869566
1992,-14.9,-18.8,-10.9,6.6,2.2,11.1,-17.4325206355874,-6.45406928514139,4.45481578843864,8.05782147856033,7.36362356352799,-8.834782608695653,-4.845652173913043,-12.793478260869565
1993,-13.3,-16.8,-9.9,6.6,2.8,10.4,-14.7103460035874,-3.76518619714139,4.56812196443864,9.17003302256033,5.99469973952799,-7.234782608695652,-4.493478260869566,-9.932608695652174
1994,-14.7,-18.8,-10.6,7.2,3,11.3,-16.7281160035874,-3.48964237314139,3.98039270043864,9.63776993456033,7.91693356352799,NA,NA,NA
1995,-13.6,-17.3,-10,6.1,2.6,9.5,-13.1592513715874,-1.73748619714139,3.79819578843864,8.39891993456033,5.95472201952799,-3.0733333333333333,-0.5391304347826087,-5.6177777777777775
1996,-14.9,-19,-10.7,5.4,1.6,9.1,-18.4669329155874,-4.71743465314139,4.21368424443864,8.30897530256033,3.53033201952799,-9.364444444444445,-6.08,-12.602222222222222
1997,-15.5,-19.4,-11.7,6.9,3.1,10.7,-15.4470067395874,-4.65406928514139,4.57592887643864,8.15451147856033,7.90581665152799,-8.14,-4.724444444444444,-11.369565217391305
1998,-11.3,-15.6,-7,8.5,4.3,12.7,-12.0036929155874,-1.13186156514139,6.69810350843864,10.6867083905603,8.04245128352799,NA,NA,NA
1999,-16.3,-20,-12.7,5.7,2.2,9.2,-17.9369844595874,-5.34966465314139,3.61143578843864,6.47118684656033,7.05915973952799,-8.826666666666666,-5.7444444444444445,-11.864444444444445
2000,-16.3,-20,-12.6,5.3,1.3,9.3,-17.1302721795874,-8.29516774114139,4.01699424443864,7.33230375856033,4.56031356352799,-10.667391304347825,-7.645652173913043,-13.634782608695652
2001,-17.3,-20.8,-13.8,5.8,2,9.7,-16.7247729155874,-8.4407039171414,3.54481961243864,7.59785839056033,6.29251047552799,-11.642857142857142,-8.80952380952381,-14.351162790697675
2002,-13.7,-17.9,-9.6,5,1,8.9,-16.6536267395874,-4.42299310914139,3.42929806843864,6.78786221456033,4.70141201952799,-7.554347826086957,-3.739130434782609,-11.341304347826087
2003,-14.4,-18.1,-10.8,5.8,1.7,9.8,-13.9092513715874,-4.73074082914139,3.79147652443864,7.87565067056033,5.63254738752799,NA,NA,NA
2004,-17.9,-22.2,-13.5,7.4,3.2,11.7,-18.3525390915874,-5.91852928514139,5.35253424443864,9.27118684656033,7.68579819552799,-10.117391304347827,-6.541304347826087,-13.647826086956522
2005,-14.6,-18.4,-10.8,5.1,1.4,8.8,-17.2669660035874,-4.23629928514139,2.88926115643864,5.71678221456033,6.69585356352799,-7.067391304347826,-4.23695652173913,-9.869565217391305
2006,-16.3,-19.8,-12.9,6.7,3,10.5,-18.4180606355874,-3.50516391714139,5.18370270043864,7.92674530256033,7.06693356352799,-7.952173913043478,-5.245652173913044,-10.628260869565217
2007,-17,-20.7,-13.2,6.7,3.1,10.3,-14.4591921795874,-7.39070391714139,4.51483806843864,8.77896067056033,6.83695201952799,-8.834782608695653,-5.815217391304348,-11.819565217391304
2008,-14.8,-17.9,-11.6,6.5,2.9,10.1,-13.9714960035874,-3.33405082914139,5.69588115643864,8.56453375856033,5.18258047552799,-5.341304347826087,-2.8260869565217392,-7.817391304347826
2009,-16.1,-19.6,-12.7,5.9,1.7,10.2,-15.8580975475874,-4.72746391714139,4.40041115643864,7.44338758256033,5.95141201952799,-6.84,-3.348888888888889,-10.108695652173912
2010,-13.2,-17.1,-9.4,6.9,3.4,10.5,-11.7603460035874,-4.85638391714139,3.93260806843864,8.82674530256033,8.07358665152799,-6.183333333333334,-3.6533333333333333,-8.688372093023256
2011,-15.4,-19.5,-11.2,6.9,2.9,11,-19.0491629155874,-4.56521928514139,3.96930887643864,9.37559147856033,7.48695201952799,-8.870454545454546,-5.113333333333333,-12.162222222222223
2012,-16.6,-19.7,-13.4,8,4.3,11.7,-16.1847690915874,-5.06852928514139,5.41258961243864,10.3933614785603,8.17249201952799,-7.363043478260869,-4.878260869565217,-9.815217391304348
2013,-16.2,-19.5,-12.8,7,3,11,-17.9979760035874,-5.89516774114139,4.97039652443864,7.75894221456033,8.27027665152799,-9.908695652173913,-5.458695652173913,-14.326086956521738
2014,-12.9,-16.7,-9.2,6,2.5,9.6,-14.9636229155874,-2.34741619714139,3.89591424443864,7.92899375856033,6.30581665152799,-3.1717391304347826,0.15000000000000002,-6.46304347826087
