year,min_conc,min_conc_day,max_conc_prior,max_conc_day_prior,spring_drop_day,min_conc_doy,max_conc_prior_doy,spring_drop_doy
1968,0.0241,1968-08-06,0.97,1968-07-02,1968-07-23,219,184,205
1969,0.3382,1969-07-16,0.8517,1969-06-18,1969-07-09,197,169,190
1970,0.0049,1970-08-20,0.8921,1970-06-25,1970-07-30,232,176,211
1971,0.0696,1971-07-30,0.6451,1971-04-02,1971-07-16,211,92,197
1972,0,1972-08-27,0.8112,1972-04-02,1972-07-23,240,93,205
1973,0.0508,1973-10-01,0.7719,1973-04-02,1973-08-27,274,92,239
1974,0.469,1974-09-17,0.948,1974-07-02,1974-09-10,260,183,253
1975,0.132,1975-07-16,0.8798,1975-04-02,1975-07-09,197,92,190
1976,0.0055,1976-10-01,0.9045,1976-04-02,1976-09-03,275,93,247
1977,0,1977-08-13,0.8912,1977-04-02,1977-07-23,225,92,204
1978,0,1978-10-01,0.9516,1978-06-18,1978-08-27,274,169,239
1979,0.003,1979-08-20,0.7742,1979-04-02,1979-07-16,232,92,197
1980,0.1173,1980-08-13,0.9776,1980-04-02,1980-07-09,226,93,191
1981,0.0603,1981-10-01,0.9843,1981-04-02,1981-07-23,274,92,204
1982,0,1982-09-17,0.9814,1982-04-02,1982-07-02,260,92,183
1983,0.2279,1983-08-27,0.9944,1983-04-02,1983-07-30,239,92,211
1984,0.2095,1984-09-24,0.9762,1984-04-02,1984-09-17,268,93,261
1985,0.384,1985-09-10,0.9776,1985-04-30,1985-09-03,253,120,246
1986,0.0962,1986-09-24,0.9759,1986-04-30,1986-08-27,267,120,239
1987,0.0061,1987-08-20,0.9771,1987-04-02,1987-06-18,232,92,169
1988,0.0766,1988-07-16,0.9762,1988-04-02,1988-06-25,198,93,177
1989,0.0717,1989-09-03,0.9763,1989-04-30,1989-08-13,246,120,225
1990,0.1537,1990-08-20,0.9756,1990-04-30,1990-08-06,232,120,218
1991,0.3785,1991-10-01,0.9793,1991-04-30,1991-09-24,274,120,267
1992,0.2047,1992-09-03,0.9769,1992-05-21,1992-08-20,247,142,233
1993,0,1993-10-15,0.978,1993-04-30,1993-06-18,288,120,169
1994,0.1138,1994-09-10,0.9775,1994-06-04,1994-07-30,253,155,211
1995,0.0011,1995-07-23,0.9789,1995-04-02,1995-07-02,204,92,183
1996,0.4155,1996-08-06,0.9769,1996-04-30,1996-07-30,219,121,212
1997,7e-4,1997-09-17,0.9767,1997-04-02,1997-07-16,260,92,197
1998,0,1998-07-02,0.9765,1998-04-02,1998-05-28,183,92,148
1999,0.052,1999-08-20,0.9752,1999-04-30,1999-07-30,232,120,211
2000,0.072,2000-09-10,0.978,2000-04-02,2000-08-13,254,93,226
2001,0.1062,2001-09-24,0.9778,2001-04-02,2001-08-27,267,92,239
2002,0.0399,2002-10-01,0.9783,2002-04-30,2002-09-03,274,120,246
2003,0.2574,2003-09-10,0.9759,2003-04-02,2003-08-27,253,92,239
2004,0.1468,2004-08-06,0.9794,2004-04-30,2004-07-09,219,121,191
2005,0.0387,2005-09-24,0.9774,2005-04-02,2005-08-27,267,92,239
2006,0.0169,2006-10-01,0.9776,2006-05-14,2006-08-06,274,134,218
2007,0,2007-09-17,0.9772,2007-04-30,2007-07-09,260,120,190
2008,0.0191,2008-08-06,0.9776,2008-04-23,2008-06-18,219,114,170
2009,0.1043,2009-09-17,0.9827,2009-04-23,2009-07-30,260,113,211
2010,0.0061,2010-09-10,0.9775,2010-05-14,2010-06-11,253,134,162
2011,0.0022,2011-08-20,0.9785,2011-05-07,2011-06-25,232,127,176
2012,0,2012-07-30,0.9778,2012-04-09,2012-06-11,212,100,163
2013,0.0566,2013-10-15,0.9777,2013-05-14,2013-08-06,288,134,218
2014,0.0041,2014-10-01,0.9754,2014-04-23,2014-06-25,274,113,176
2015,0.0044,2015-10-01,0.9766,2015-04-16,2015-07-02,274,106,183
2016,0,2016-08-20,0.975,2016-04-02,2016-05-14,233,93,135
2017,0.0093,2017-10-08,0.9774,2017-04-23,2017-06-11,281,113,162
2018,0.0512,2018-09-03,0.977,2018-05-07,2018-07-30,246,127,211
2019,0.0049,2019-10-01,0.9766,2019-04-30,2019-07-16,274,120,197
2020,0.1455,2020-09-10,0.9766,2020-04-02,2020-08-20,254,93,233
2021,0.0385,2021-09-10,0.9761,2021-04-02,2021-08-20,253,92,232
2022,0.0471,2022-09-17,0.9765,2022-04-02,2022-07-23,260,92,204
2023,0,2023-09-17,0.9748,2023-04-30,2023-06-25,260,120,176
2024,0,2024-09-03,0.9786,2024-05-14,2024-07-02,247,135,184
