year,snowmelt_mean,snowmelt_sd,budburst_mean,budburst_sd
2001,157.9,1.5993419699495495,168.2,3.860733499983486
2002,139.48333333333332,2.299313398661252,159.7,0.9787209698591858
2003,145.73333333333332,4.563585847715991,173.73684210526315,6.135888102550236
2004,155.11228070175437,7.154681941512881,177.8,3.1388901826835816
2005,131.90087719298245,8.814412042168373,168.75,5.664989431866391
2006,138.44912280701755,1.6827296120792612,160.65,3.5729244987382827
2007,151.70000000000002,4.575679414607536,172.6,8.990471146084138
2008,147.5438596491228,2.3508117299081364,159.42857142857142,6.813045018021121
2009,141.45000000000002,6.362099951232587,168.6,8.087026647662292
2010,145.3,8.910963088123232,161.2,6.155137227204142
2011,142.35,0.9017526793621642,168,16.381808092015863
2012,140.30526315789473,3.3503076580381053,158.47058823529412,6.52990856615565
2013,146.50555555555556,7.063091030275681,168.85,5.460624602793309
2014,131.95,5.201467404290325,158.6,12.567292552704547
2015,134.35,3.1482381594745865,141.1578947368421,2.4779731389167603
2016,137.51666666666668,1.7748239349298849,158.57894736842104,5.659954745340129
2017,140.06666666666666,2.063466679363179,157.21052631578948,5.170202525244711
2018,158.6,2.3067406944819235,175.8125,10.546523913909581
2019,140.2,2.0300375936368633,137.35,2.996050031203365
2022,128.63333333333333,4.423025875431529,162.65,4.307582054690861
2023,144.6,2.3808446090897197,164.75,3.891623933797466
2024,173.03333333333333,2.004381166257836,179.75,3.5075107382511845
