"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-01","2024","01","01","","-22.5","","-25.8","","-24.2","","42.2","","0.0","","","","","","0.0","","86","","","","",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-02","2024","01","02","","","M","","M","","M","","M","","M","","","","","","M","86","","","M","","M"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-03","2024","01","03","","-27.7","","-31.5","","-29.6","","47.6","","0.0","","","","","","0.2","","86","","","","",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-04","2024","01","04","","-26.4","","-31.3","","-28.8","","46.8","","0.0","","","","","","0.0","","86","","","","",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-05","2024","01","05","","-26.4","","-32.0","","-29.2","","47.2","","0.0","","","","","","0.0","","86","","","","",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-06","2024","01","06","","","M","","M","","M","","M","","M","","","","","","M","86","","","M","","M"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-07","2024","01","07","","-23.3","","-26.6","","-24.9","","42.9","","0.0","","","","","","0.4","","87","","14","","56",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-08","2024","01","08","","-22.0","","-29.6","","-25.8","","43.8","","0.0","","","","","","0.2","","84","","13","","58",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-09","2024","01","09","","-29.1","","-31.7","","-30.4","","48.4","","0.0","","","","","","0.0","","86","","","","",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-10","2024","01","10","","-21.8","","-32.1","","-27.0","","45.0","","0.0","","","","","","0.0","","84","","14","","37",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-11","2024","01","11","","-16.3","","-24.6","","-20.4","","38.4","","0.0","","","","","","0.0","","83","","14","","43",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-12","2024","01","12","","-15.8","","-29.4","","-22.6","","40.6","","0.0","","","","","","0.0","","83","","13","","43",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-13","2024","01","13","","-23.5","","-31.2","","-27.3","","45.3","","0.0","","","","","","0.4","","84","","15","","68",""
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-01-14","2024","01","14","","-21.3","","-29.5","","-25.4","","43.4","","0.0","","","","","","0.9","","84","","15","","75",""
