"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 00:00","2024","07","01","00:00","","M","","M","","M","","M","17","","6","","","","101.05","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 01:00","2024","07","01","01:00","","M","","M","","M","","M","34","","4","","","","101.03","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 02:00","2024","07","01","02:00","","M","","M","","M","","M","26","","3","","","","101.01","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 03:00","2024","07","01","03:00","","M","","M","","M","","M","","","0","","","","101.02","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 04:00","2024","07","01","04:00","","M","","M","","M","","M","","","0","","","","101.01","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 05:00","2024","07","01","05:00","","M","","M","","M","","M","32","","4","","","","101.02","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 06:00","2024","07","01","06:00","","M","","M","","M","","M","36","","3","","","","101.02","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 07:00","2024","07","01","07:00","","M","","M","","M","","M","34","","5","","","","101.00","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 08:00","2024","07","01","08:00","","M","","M","","M","","M","28","","6","","","","100.99","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 09:00","2024","07","01","09:00","","M","","M","","M","","M","28","","7","","","","101.01","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 10:00","2024","07","01","10:00","","M","","M","","M","","M","33","","4","","","","101.00","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 11:00","2024","07","01","11:00","","M","","M","","M","","M","","","0","","","","101.03","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 12:00","2024","07","01","12:00","","M","","M","","M","","M","34","","7","","","","101.04","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 13:00","2024","07","01","13:00","","M","","M","","M","","M","35","","30","","","","101.03","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 14:00","2024","07","01","14:00","","M","","M","","M","","M","36","","35","","","","101.11","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 15:00","2024","07","01","15:00","","M","","M","","M","","M","35","","29","","","","101.16","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 16:00","2024","07","01","16:00","","M","","M","","M","","M","34","","30","","","","101.21","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 17:00","2024","07","01","17:00","","M","","M","","M","","M","35","","24","","","","101.26","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 18:00","2024","07","01","18:00","","M","","M","","M","","M","35","","19","","","","101.36","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 19:00","2024","07","01","19:00","","M","","M","","M","","M","1","","19","","","","101.35","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 20:00","2024","07","01","20:00","","M","","M","","M","","M","2","","10","","","","101.41","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 21:00","2024","07","01","21:00","","M","","M","","M","","M","3","","18","","","","101.41","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 22:00","2024","07","01","22:00","","M","","M","","M","","M","5","","13","","","","101.40","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-01 23:00","2024","07","01","23:00","","M","","M","","M","","M","35","","6","","","","101.44","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 00:00","2024","07","02","00:00","","M","","M","","M","","M","25","","9","","","","101.42","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 01:00","2024","07","02","01:00","","M","","M","","M","","M","20","","6","","","","101.43","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 02:00","2024","07","02","02:00","","M","","M","","M","","M","27","","3","","","","101.40","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 03:00","2024","07","02","03:00","","M","","M","","M","","M","28","","6","","","","101.41","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 04:00","2024","07","02","04:00","","M","","M","","M","","M","6","","14","","","","101.46","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 05:00","2024","07","02","05:00","","M","","M","","M","","M","6","","10","","","","101.46","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 06:00","2024","07","02","06:00","","M","","M","","M","","M","4","","8","","","","101.47","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 07:00","2024","07","02","07:00","","M","","M","","M","","M","6","","6","","","","101.50","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 08:00","2024","07","02","08:00","","M","","M","","M","","M","8","","7","","","","101.52","","","","","","NA"
"-138.91","69.57","HERSCHEL ISLAND","2100636","2024-07-02 09:00","2024","07","02","09:00","","M","","M","","M","","M","10","","3","","","","101.51","","","","","","NA"
