Multiple Seasons: Weekly Ice Coverage for the seasons 1968;2024 Weeks:0430-1112
Historical Period used for Average and Median Calculations : 1991 - 2020
Plusieurs saisons: Couverture des glaces hebdomadaire pour les saisons 1968;2024 Semaines:0430-1112
Période historique utilisée pour le calcul de la moyenne et de la médiane: 1991 - 2020

CIS WA Beaufort Sea: Mackenzie (cwa01_02) - Area: 118521 km²
CIS WA Mer de Beaufort : Mackenzie (cwa01_02) - Aire: 118521 km²

Week,Status,Interpolated (%),<abbr title="Total Concentration">CT</abbr> ,No Data,Old Ice,First-Year Ice,Young Ice,New Ice,Average <abbr title="Total Concentration">CT</abbr>,Median <abbr title="Total Concentration">CT</abbr>
Semaine,État,Interpolée (%),<abbr title="Concentration totale">CT</abbr>,Aucune donnée,Vieille glace,Glace première année,Jeune glace,Nouvelle glace,<abbr title="Concentration totale">CT</abbr> Moyenne,<abbr title="Concentration totale">CT</abbr> Médiane
19680430,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.9444,.9756
19680507,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.9236,.9621
19680514,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.8926,.9282
19680521,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.8264,.8633
19680528,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.7823,.7946
19680604,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.7333,.7611
19680611,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.6451,.6600
19680618,1,100,0.97,.0000,.9700,.0000,.0000,.0000,.6016,.6488
19680625,2,0,0.97,.0000,.9700,.0000,.0000,.0000,.5414,.5244
19680702,2,0,0.97,.0000,.9700,.0000,.0000,.0000,.4637,.4039
19680709,2,0,0.5529,.0000,.0885,.4645,.0000,.0000,.4075,.4194
19680716,2,0,0.4535,.0000,.0451,.4083,.0000,.0000,.3634,.3836
19680723,2,0,0.3768,.0000,.0599,.3169,.0000,.0000,.3354,.3417
19680730,2,0,0.2716,.0000,.0224,.2492,.0000,.0000,.3014,.2944
19680806,2,0,0.0241,.0000,.0080,.0161,.0000,.0000,.2472,.1947
19680813,2,0,0.0449,.0000,.0449,.0000,.0000,.0000,.2224,.1780
19680820,2,0,0.061,.0000,.0610,.0000,.0000,.0000,.2055,.1283
19680827,2,0,0.1678,.0000,.1678,.0000,.0000,.0000,.1992,.1212
19680903,2,0,0.112,.0000,.1120,.0000,.0000,.0000,.1583,.0999
19680910,2,0,0.1389,.0000,.1389,.0000,.0000,.0000,.1391,.0964
19680917,2,0,0.2042,.0000,.2042,.0000,.0000,.0000,.1411,.0975
19680924,2,0,0.1575,.0000,.0000,.1575,.0000,.0000,.1500,.0411
19681001,2,0,0.0429,.0000,.0429,.0000,.0000,.0000,.2287,.1023
19681008,2,0,0.2424,.0000,.2424,.0000,.0000,.0000,.3202,.2304
19681015,2,0,0.6755,.0000,.2550,.0000,.2062,.2348,.4851,.3759
19681022,1,100,0.6805,.0000,.2659,.0061,.2003,.2281,.6117,.7234
19681029,1,100,0.6856,.0000,.2769,.0122,.1944,.2214,.8024,.9504
19681105,1,100,0.6906,.0000,.2878,.0184,.1885,.2147,.9037,.9719
19681112,1,100,0.6956,.0000,.2987,.0245,.1826,.2080,.9532,.9720
19690430,1,100,0.8165,.0000,.5610,.1714,.0412,.0470,.9444,.9756
19690507,1,100,0.8215,.0000,.5719,.1775,.0353,.0403,.9236,.9621
19690514,1,100,0.8265,.0000,.5829,.1836,.0295,.0335,.8926,.9282
