"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-01","1992","01","01","","-19.2","","-28.0","","-23.6","","41.6","","0.0","","0.0","","0.0","T","0.0","T","15","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-02","1992","01","02","","-21.8","","-25.9","","-23.9","","41.9","","0.0","","0.0","","1.6","","1.6","","15","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-03","1992","01","03","","-22.8","","-27.4","","-25.1","","43.1","","0.0","","0.0","","1.2","","1.2","","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-04","1992","01","04","","-24.4","","-29.9","","-27.2","","45.2","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-05","1992","01","05","","-19.6","","-24.8","","-22.2","","40.2","","0.0","","0.0","","0.2","","0.2","","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-06","1992","01","06","","-18.7","","-24.1","","-21.4","","39.4","","0.0","","0.0","","0.8","","0.8","","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-07","1992","01","07","","-22.0","","-28.3","","-25.2","","43.2","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-08","1992","01","08","","-21.8","","-27.5","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-09","1992","01","09","","-19.4","","-26.2","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-10","1992","01","10","","-17.6","","-23.2","","-20.4","","38.4","","0.0","","0.0","","0.0","T","0.0","T","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-11","1992","01","11","","-18.3","","-24.9","","-21.6","","39.6","","0.0","","0.0","","0.4","","0.4","","16","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-12","1992","01","12","","-15.2","","-18.5","","-16.9","","34.9","","0.0","","0.0","","1.6","","1.6","","17","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-13","1992","01","13","","-16.3","","-21.9","","-19.1","","37.1","","0.0","","0.0","","0.4","","0.4","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-14","1992","01","14","","-21.2","","-28.4","","-24.8","","42.8","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-15","1992","01","15","","-27.2","","-35.2","","-31.2","","49.2","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-16","1992","01","16","","-31.3","","-37.6","","-34.5","","52.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-17","1992","01","17","","-24.0","","-31.9","","-28.0","","46.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-18","1992","01","18","","-20.6","","-26.6","","-23.6","","41.6","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-19","1992","01","19","","-18.1","","-21.3","","-19.7","","37.7","","0.0","","0.0","","0.2","","0.2","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-20","1992","01","20","","-19.5","","-31.6","","-25.6","","43.6","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-21","1992","01","21","","","M","-36.8","","","M","","M","","M","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-22","1992","01","22","","","M","-38.9","","","M","","M","","M","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-23","1992","01","23","","","M","-40.1","","","M","","M","","M","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-24","1992","01","24","","-15.7","","-31.1","","-23.4","","41.4","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-25","1992","01","25","","-24.5","","-32.9","","-28.7","","46.7","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-26","1992","01","26","","-28.9","","-32.3","","-30.6","","48.6","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-27","1992","01","27","","-29.5","","-33.6","","-31.6","","49.6","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-28","1992","01","28","","-33.2","","-34.5","","-33.9","","51.9","","0.0","","0.0","","0.6","","0.6","","18","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-29","1992","01","29","","-31.9","","-35.8","","-33.9","","51.9","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-30","1992","01","30","","","M","-39.0","","","M","","M","","M","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-01-31","1992","01","31","","","M","-39.4","","","M","","M","","M","0.0","","0.4","","0.4","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-01","1992","02","01","","","M","-39.2","","","M","","M","","M","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-02","1992","02","02","","","M","-39.0","","","M","","M","","M","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-03","1992","02","03","","-30.5","","-33.7","","-32.1","","50.1","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-04","1992","02","04","","-29.6","","-32.6","","-31.1","","49.1","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-05","1992","02","05","","-28.7","","-32.1","","-30.4","","48.4","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-06","1992","02","06","","-30.0","","-37.4","","-33.7","","51.7","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-07","1992","02","07","","-31.1","","-36.7","","-33.9","","51.9","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-140.18","69.58","KOMAKUK BEACH A","2100685","1992-02-08","1992","02","08","","-26.5","","-33.4","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
